index,condition,method,culture,model,prompt_language,metric_name,demo,_metric_value,std_value,table
0,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,cross_ratio,age,0.7957218533714756,0.0416312494819912,homophily
1,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,cross_ratio,gender,0.8286217274427303,0.03718607480313473,homophily
2,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,cross_ratio,political affiliation,0.0,0.0,homophily
3,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.6825755351881448,0.031078195233010655,homophily
4,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,cross_ratio,religion,0.840782258497929,0.04925574396745504,homophily
5,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,same_ratio,age,1.3287172925010724,0.041330795722251665,homophily
6,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,same_ratio,gender,1.1779368420561336,0.038609169179960115,homophily
7,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,same_ratio,political affiliation,2.038269550748752,0.0,homophily
8,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.3529978962131837,0.034561096422917,homophily
9,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,same_ratio,religion,1.3096325790268637,0.09578821362901689,homophily
10,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,cross_ratio,age,0.8024669316719667,0.058458440128397994,homophily
11,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,cross_ratio,gender,0.7835927314211213,0.0023527971722988265,homophily
12,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,cross_ratio,political affiliation,0.039315357739198004,0.03207234040133605,homophily
13,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.6446944865119045,0.03540081405096021,homophily
14,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,cross_ratio,religion,0.8197158086601557,0.11108276244247582,homophily
15,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,same_ratio,age,1.328978789801693,0.06319743419288065,homophily
16,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,same_ratio,gender,1.2246890775261572,0.002442837663085633,homophily
17,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,same_ratio,political affiliation,1.9974496119313485,0.033299734459956494,homophily
18,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.3951242348272785,0.0393681466601195,homophily
19,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,same_ratio,religion,1.350600747100803,0.21602392984606486,homophily
20,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,cross_ratio,age,0.7896272943954716,0.042647053025668416,homophily
21,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,cross_ratio,gender,0.8014082691195512,0.07009835936498258,homophily
22,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,cross_ratio,political affiliation,0.01263824694618685,0.017873180235917795,homophily
23,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.6613728242580232,0.0361767553777311,homophily
24,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,cross_ratio,religion,0.808112570559563,0.015179252983148692,homophily
25,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,same_ratio,age,1.3290331329091383,0.011212392076052752,homophily
26,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,same_ratio,gender,1.2061917472036607,0.07278099208610522,homophily
27,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,same_ratio,political affiliation,2.0251476437696825,0.018557178813997877,homophily
28,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.3765767730234053,0.040231046928683505,homophily
29,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,same_ratio,religion,1.3731656981185418,0.02951926842155569,homophily
30,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,cross_ratio,age,0.811556174530434,0.07425721450977885,homophily
31,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,cross_ratio,gender,0.8442982456140351,0.004174888215507746,homophily
32,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,cross_ratio,political affiliation,0.0,0.0,homophily
33,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.6670386636906904,0.017937741323209674,homophily
34,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,cross_ratio,religion,0.8095793453677093,0.09674763857980091,homophily
35,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,same_ratio,age,1.3435973955507323,0.1991895119728788,homophily
36,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,same_ratio,gender,1.1616603905771081,0.004334659311941119,homophily
37,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,same_ratio,political affiliation,2.038269550748752,0.0,homophily
38,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.370275968826732,0.019948005437017812,homophily
39,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,same_ratio,religion,1.3703132442248154,0.18814624906504548,homophily
40,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,cross_ratio,age,0.9300747542620826,0.01576260089552963,homophily
41,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,cross_ratio,gender,0.8651737398419652,0.0506072107204206,homophily
42,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,cross_ratio,political affiliation,0.8414643071651413,0.017077009472684354,homophily
43,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,cross_ratio,race/ethnicity,0.7773144555659194,0.01659645223468271,homophily
44,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,cross_ratio,religion,0.961078316640302,0.04775559660044966,homophily
45,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,same_ratio,age,1.034670319679128,0.08276838936626552,homophily
46,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,same_ratio,gender,1.139986000563417,0.052543925939338786,homophily
47,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,same_ratio,political affiliation,1.1646027825772909,0.01773053895333639,homophily
48,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,same_ratio,race/ethnicity,1.2476416830344519,0.018456399467879546,homophily
49,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,same_ratio,religion,1.0756914467259513,0.09287085973500908,homophily
50,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,cross_ratio,age,0.8858856149122996,0.04139036609170963,homophily
51,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,cross_ratio,gender,0.8901706102784744,0.04291470277198587,homophily
52,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,cross_ratio,political affiliation,0.83488650272616,0.14766570791848307,homophily
53,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,cross_ratio,race/ethnicity,0.8702755113688477,0.05436872141699754,homophily
54,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,cross_ratio,religion,0.9621873356511068,0.0327238041328525,homophily
55,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,same_ratio,age,1.1973791276211496,0.10118696613868022,homophily
56,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,same_ratio,gender,1.114032511125178,0.04455702916758588,homophily
57,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,same_ratio,political affiliation,1.171432316637065,0.15331680822151983,homophily
58,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,same_ratio,race/ethnicity,1.1442625778742985,0.060461767782695554,homophily
59,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,same_ratio,religion,1.0735347246592655,0.06363835947951377,homophily
60,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,cross_ratio,age,0.9425697320277469,0.053790146269347514,homophily
61,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,cross_ratio,gender,0.873615624805514,0.02253217316250346,homophily
62,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,cross_ratio,political affiliation,0.7949574598483788,0.11566164588322421,homophily
63,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,cross_ratio,race/ethnicity,0.8116794728870325,0.07772106084724922,homophily
64,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,cross_ratio,religion,0.9533042870633167,0.04876838643570561,homophily
65,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,same_ratio,age,1.0101783662587995,0.10306748752895373,homophily
66,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,same_ratio,gender,1.1312210484548406,0.023394469306825767,homophily
67,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,same_ratio,political affiliation,1.2128894260476066,0.1200879651100364,homophily
68,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,same_ratio,race/ethnicity,1.2094254137721794,0.08643117973530312,homophily
69,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,same_ratio,religion,1.0908096917446555,0.0948404438136679,homophily
70,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,cross_ratio,age,0.9386382647194518,0.006482330416209335,homophily
71,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,cross_ratio,gender,0.920571798450088,0.05321401077720893,homophily
72,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,cross_ratio,political affiliation,0.7991334779986096,0.17166064992172425,homophily
73,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,cross_ratio,race/ethnicity,0.8687651710907525,0.007751542507721933,homophily
74,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,cross_ratio,religion,0.9781390116111345,0.010327363289962197,homophily
75,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,same_ratio,age,0.9914208096519546,0.07912419610771478,homophily
76,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,same_ratio,gender,1.0824678831400085,0.05525048706319191,homophily
77,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,same_ratio,political affiliation,1.208553593558848,0.17823002587546727,homophily
78,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,same_ratio,race/ethnicity,1.1459421804249388,0.008620249857725162,homophily
79,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,same_ratio,religion,1.0425133163620004,0.02008374255187398,homophily
80,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,cross_ratio,age,0.7251448357111725,0.06020753081197396,homophily
81,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,cross_ratio,gender,0.8243492618492618,0.024037235180195266,homophily
82,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,cross_ratio,political affiliation,0.01794116377449705,0.010683215635642337,homophily
83,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,cross_ratio,race/ethnicity,0.705243650980085,0.0025838475025740434,homophily
84,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,cross_ratio,religion,0.7960736329092324,0.06077151836245524,homophily
85,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,same_ratio,age,1.533808879169704,0.0042953135029901585,homophily
86,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,same_ratio,gender,1.1823728129884534,0.024957129371783612,homophily
87,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,same_ratio,political affiliation,2.0196417866966954,0.011092057498570581,homophily
88,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,same_ratio,race/ethnicity,1.3277893881342155,0.0028734166192416685,homophily
89,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,same_ratio,religion,1.396577959077959,0.11818307296929409,homophily
90,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,cross_ratio,age,0.7351394067506336,0.05388953209917738,homophily
91,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,cross_ratio,gender,0.8550524639745654,0.034073071172699705,homophily
92,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,cross_ratio,political affiliation,0.0137288905404847,0.0047261616996808935,homophily
93,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,cross_ratio,race/ethnicity,0.7182713552784332,0.035218964872040855,homophily
94,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,cross_ratio,religion,0.800039909313301,0.03238983099163269,homophily
95,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,same_ratio,age,1.513653015035056,0.09579794130074881,homophily
