index,condition,method,culture,model,prompt_language,metric_name,demo,_metric_value,std_value,table
96,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,same_ratio,gender,1.1504946131112668,0.035377032299109164,homophily
97,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,same_ratio,political affiliation,2.0240152617350042,0.004907029784693513,homophily
98,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,same_ratio,race/ethnicity,1.3133016824920873,0.039165917831838586,homophily
99,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,same_ratio,religion,1.388864695590239,0.06298887805824763,homophily
100,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,cross_ratio,age,0.6783803077128089,0.07319121487226035,homophily
101,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,cross_ratio,gender,0.8278748180494906,0.019051345786923312,homophily
102,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,cross_ratio,political affiliation,0.0266251653624288,0.02296424845696491,homophily
103,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,cross_ratio,race/ethnicity,0.6952546805632348,0.06838733499170672,homophily
104,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,cross_ratio,religion,0.8469157726826637,0.06469146346295714,homophily
105,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,same_ratio,age,1.7273348995388642,0.07709681339937827,homophily
106,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,same_ratio,gender,1.1787123353363027,0.01978043223134844,homophily
107,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,same_ratio,political affiliation,2.010625452269292,0.023843079928695537,homophily
108,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,same_ratio,race/ethnicity,1.3388978121322648,0.07605143287870827,homophily
109,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,same_ratio,religion,1.2977046632204927,0.12580623543637542,homophily
110,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,cross_ratio,age,0.6955245067162643,0.010317987579103257,homophily
111,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,cross_ratio,gender,0.846798981976116,0.02343626272049263,homophily
112,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,cross_ratio,political affiliation,0.03108370768509265,0.029423395410017417,homophily
113,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,cross_ratio,race/ethnicity,0.6617740793802598,0.04847485220977734,homophily
114,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,cross_ratio,religion,0.8299771982476928,0.052600872538891674,homophily
115,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,same_ratio,age,1.6980922076895832,0.06378001123889118,homophily
116,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,same_ratio,gender,1.1590639521579096,0.024333157966035777,homophily
117,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,same_ratio,political affiliation,2.0059962835349454,0.030549415533861438,homophily
118,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,same_ratio,race/ethnicity,1.376130549654711,0.053907378750528444,homophily
119,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,same_ratio,religion,1.3306453043692705,0.10229352375952759,homophily
0,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,avg_clustering_coef,,0.6254897926291116,0.03197101541585146,network
1,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,avg_shortest_path,,0.5416092997928688,0.07011759181675624,network
2,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,density,,0.16979591836734692,0.025398121120169873,network
3,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,diameter,,1.074246867505472,0.2170306413375788,network
4,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,modularity,,0.4863863710327647,0.02266588755365147,network
5,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,prop_nodes_lcc,,0.52,0.0,network
6,sequential_gpt-4.1-mini_n5_culture_brazil,sequential,brazil,gpt-4.1-mini,english,radius,,0.6138553528602697,0.0,network
7,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,avg_clustering_coef,,0.6173082895776395,0.1002345894515119,network
8,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,avg_shortest_path,,0.6716649542996166,0.017478598674874314,network
9,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,density,,0.17387755102040814,0.026552581171086716,network
10,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,diameter,,1.5418199563279806,0.01143624234860559,network
11,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,modularity,,0.46278419015454686,0.01805926177729987,network
12,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,prop_nodes_lcc,,0.98,0.028284271247461926,network
13,sequential_gpt-4.1-mini_n5_culture_india,sequential,india,gpt-4.1-mini,english,radius,,0.7709099781639903,0.005718121174302912,network
14,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,avg_clustering_coef,,0.6332732873421728,0.06741754075274971,network
15,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,avg_shortest_path,,0.6481115885361193,0.07115037710548992,network
16,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,density,,0.1718367346938775,0.025975351145628274,network
17,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,diameter,,1.4063747376636657,0.1813921855929284,network
18,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,modularity,,0.4815400816031593,0.03294846136538017,network
19,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,prop_nodes_lcc,,0.76,0.33941125496954283,network
20,sequential_gpt-4.1-mini_n5_culture_japan,sequential,japan,gpt-4.1-mini,english,radius,,0.8438248425981995,0.10883531135575711,network
21,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,avg_clustering_coef,,0.6202911831031026,0.07007884331598876,network
22,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,avg_shortest_path,,0.5271552166533479,0.05902544365141169,network
23,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,density,,0.17469387755102034,0.027707041222003466,network
24,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,diameter,,1.089707475533452,0.23889524289328246,network
25,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,modularity,,0.49140384783537006,0.01905157577814794,network
26,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,prop_nodes_lcc,,0.5,0.028284271247461926,network
27,sequential_gpt-4.1-mini_n5_culture_us,sequential,us,gpt-4.1-mini,english,radius,,0.6215856568742597,0.010932300777851829,network
28,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,avg_clustering_coef,,0.4508256899213219,0.034868686811497344,network
29,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,avg_shortest_path,,0.5151048544500536,0.006934982529218484,network
30,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,density,,0.18979591836734688,0.029438731298378665,network
31,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,diameter,,1.022488874541326,0.0,network
32,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,modularity,,0.19214419049065867,0.03128219612577063,network
33,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,prop_nodes_lcc,,1.0,0.0,network
34,sequential_gpt-4.1-nano_n5_culture_brazil,sequential,brazil,gpt-4.1-nano,english,radius,,0.5112444372706629,0.0,network
35,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,avg_clustering_coef,,0.4408453757387299,0.0036967342586867236,network
36,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,avg_shortest_path,,0.5144788408533957,0.023165792703985257,network
37,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,density,,0.19061224489795908,0.028284271247461915,network
38,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,diameter,,1.022488874541326,0.0,network
39,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,modularity,,0.18702236619298135,0.0010950831703089824,network
40,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,prop_nodes_lcc,,1.0,0.0,network
41,sequential_gpt-4.1-nano_n5_culture_india,sequential,india,gpt-4.1-nano,english,radius,,0.5112444372706629,0.0,network
42,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,avg_clustering_coef,,0.5063225929875951,0.00847102129166007,network
43,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,avg_shortest_path,,0.5207389768199752,0.035560229564716175,network
44,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,density,,0.18857142857142856,0.02886150127292034,network
45,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,diameter,,1.1502999838589916,0.18075220421899288,network
46,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,modularity,,0.20219181192753866,0.02228790273439041,network
47,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,prop_nodes_lcc,,1.0,0.0,network
48,sequential_gpt-4.1-nano_n5_culture_japan,sequential,japan,gpt-4.1-nano,english,radius,,0.6390555465883286,0.1807522042189931,network
49,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,avg_clustering_coef,,0.4456694094671077,0.014862230277254822,network
50,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,avg_shortest_path,,0.523660373604379,0.018148996831784656,network
51,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,density,,0.1881632653061224,0.024820891094711528,network
52,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,diameter,,1.022488874541326,0.0,network
53,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,modularity,,0.1870159093954602,4.9921706476147825e-05,network
54,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,prop_nodes_lcc,,1.0,0.0,network
55,sequential_gpt-4.1-nano_n5_culture_us,sequential,us,gpt-4.1-nano,english,radius,,0.5112444372706629,0.0,network
56,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,avg_clustering_coef,,0.5813309529158568,0.0038524915074736286,network
57,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,avg_shortest_path,,0.6332330212177191,0.04467984082971745,network
58,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,density,,0.17142857142857135,0.024243661069253075,network
59,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,diameter,,1.3975882354440263,0.16896619498809315,network
60,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,modularity,,0.4883274093230803,0.02274304557760239,network
61,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,prop_nodes_lcc,,0.77,0.3252691193458118,network
62,sequential_gpt-4.1_n5_culture_brazil,sequential,brazil,gpt-4.1,english,radius,,0.8385529412664159,0.101379716992856,network
63,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,avg_clustering_coef,,0.6062758452828787,0.014619782021941974,network
64,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,avg_shortest_path,,0.6203112603497001,0.059412702624517144,network
65,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,density,,0.17102040816326525,0.0236664310437947,network
66,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,diameter,,1.2458816976728868,0.04557924822851856,network
67,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,modularity,,0.49290767613571446,0.026875833974333144,network
68,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,prop_nodes_lcc,,0.77,0.3252691193458118,network
69,sequential_gpt-4.1_n5_culture_india,sequential,india,gpt-4.1,english,radius,,0.6868464034952764,0.11316572622375574,network
70,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,avg_clustering_coef,,0.5811720305837953,0.004375564000605654,network
71,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,avg_shortest_path,,0.6533849077463574,0.08051379901349795,network
72,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,density,,0.1706122448979591,0.02308920101833625,network
73,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,diameter,,1.3736928069905527,0.22633145244751174,network
74,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,modularity,,0.4930887056847659,0.035963186198102105,network
75,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,prop_nodes_lcc,,0.77,0.3252691193458118,network
76,sequential_gpt-4.1_n5_culture_japan,sequential,japan,gpt-4.1,english,radius,,0.6868464034952764,0.11316572622375574,network
77,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,avg_clustering_coef,,0.5965307434111782,0.02322877198870054,network
78,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,avg_shortest_path,,0.7732311274720169,0.17721093654449854,network
79,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,density,,0.17061224489795915,0.020780280916502674,network
80,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,diameter,,1.533733311811989,0.3615044084379864,network
81,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,modularity,,0.4813776708474153,0.043470414817462,network
82,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,prop_nodes_lcc,,1.0,0.0,network
83,sequential_gpt-4.1_n5_culture_us,sequential,us,gpt-4.1,english,radius,,0.8946777652236602,0.1807522042189933,network
