method,culture,model,seed,language_pair,edge_distance
global,us,gpt-4.1-nano,0,english vs hindi,0.02857142857142857
global,us,gpt-4.1-nano,1,english vs hindi,0.025714285714285714
global,us,gpt-4.1-nano,0,english vs japanese,0.022040816326530613
global,us,gpt-4.1-nano,1,english vs japanese,0.036734693877551024
global,us,gpt-4.1-nano,0,english vs spanish,0.11142857142857143
global,us,gpt-4.1-nano,1,english vs spanish,0.03387755102040816
global,us,gpt-4.1-nano,0,hindi vs japanese,0.02857142857142857
global,us,gpt-4.1-nano,1,hindi vs japanese,0.025714285714285714
global,us,gpt-4.1-nano,0,hindi vs spanish,0.11632653061224489
global,us,gpt-4.1-nano,1,hindi vs spanish,0.024489795918367346
global,us,gpt-4.1-nano,0,japanese vs spanish,0.11224489795918367
global,us,gpt-4.1-nano,1,japanese vs spanish,0.035510204081632656
global,us,gpt-4.1-mini,0,english vs hindi,0.027755102040816326
global,us,gpt-4.1-mini,1,english vs hindi,0.03428571428571429
global,us,gpt-4.1-mini,0,english vs japanese,0.027346938775510202
global,us,gpt-4.1-mini,1,english vs japanese,0.036734693877551024
global,us,gpt-4.1-mini,0,english vs spanish,0.054285714285714284
global,us,gpt-4.1-mini,1,english vs spanish,0.03306122448979592
global,us,gpt-4.1-mini,0,hindi vs japanese,0.02
global,us,gpt-4.1-mini,1,hindi vs japanese,0.03346938775510204
global,us,gpt-4.1-mini,0,hindi vs spanish,0.04775510204081632
global,us,gpt-4.1-mini,1,hindi vs spanish,0.02979591836734694
global,us,gpt-4.1-mini,0,japanese vs spanish,0.04897959183673469
global,us,gpt-4.1-mini,1,japanese vs spanish,0.036326530612244896
global,us,gpt-4.1,0,english vs hindi,0.037959183673469385
global,us,gpt-4.1,1,english vs hindi,0.044489795918367346
global,us,gpt-4.1,0,english vs japanese,0.03306122448979592
global,us,gpt-4.1,1,english vs japanese,0.04693877551020408
global,us,gpt-4.1,0,english vs spanish,0.08734693877551021
global,us,gpt-4.1,1,english vs spanish,0.05061224489795919
global,us,gpt-4.1,0,hindi vs japanese,0.026122448979591838
global,us,gpt-4.1,1,hindi vs japanese,0.03346938775510204
global,us,gpt-4.1,0,hindi vs spanish,0.08693877551020408
global,us,gpt-4.1,1,hindi vs spanish,0.044489795918367346
global,us,gpt-4.1,0,japanese vs spanish,0.08204081632653061
global,us,gpt-4.1,1,japanese vs spanish,0.04938775510204082
local,us,gpt-4.1-nano,0,english vs hindi,0.12693877551020408
local,us,gpt-4.1-nano,1,english vs hindi,0.15836734693877552
local,us,gpt-4.1-nano,0,english vs japanese,0.13551020408163264
local,us,gpt-4.1-nano,1,english vs japanese,0.16816326530612244
local,us,gpt-4.1-nano,0,english vs spanish,0.11714285714285715
local,us,gpt-4.1-nano,1,english vs spanish,0.15387755102040818
local,us,gpt-4.1-nano,0,hindi vs japanese,0.1253061224489796
local,us,gpt-4.1-nano,1,hindi vs japanese,0.14857142857142858
local,us,gpt-4.1-nano,0,hindi vs spanish,0.11346938775510204
local,us,gpt-4.1-nano,1,hindi vs spanish,0.13510204081632654
local,us,gpt-4.1-nano,0,japanese vs spanish,0.12204081632653062
local,us,gpt-4.1-nano,1,japanese vs spanish,0.1579591836734694
local,us,gpt-4.1-mini,0,english vs hindi,0.05591836734693877
local,us,gpt-4.1-mini,1,english vs hindi,0.08244897959183674
local,us,gpt-4.1-mini,0,english vs japanese,0.037551020408163265
local,us,gpt-4.1-mini,1,english vs japanese,0.10816326530612246
local,us,gpt-4.1-mini,0,english vs spanish,0.04653061224489796
local,us,gpt-4.1-mini,1,english vs spanish,0.0783673469387755
local,us,gpt-4.1-mini,0,hindi vs japanese,0.05591836734693877
local,us,gpt-4.1-mini,1,hindi vs japanese,0.10163265306122449
local,us,gpt-4.1-mini,0,hindi vs spanish,0.062448979591836734
local,us,gpt-4.1-mini,1,hindi vs spanish,0.09387755102040816
local,us,gpt-4.1-mini,0,japanese vs spanish,0.05061224489795919
local,us,gpt-4.1-mini,1,japanese vs spanish,0.11795918367346939
local,us,gpt-4.1,0,english vs hindi,0.062448979591836734
local,us,gpt-4.1,1,english vs hindi,0.09714285714285714
local,us,gpt-4.1,0,english vs japanese,0.06
local,us,gpt-4.1,1,english vs japanese,0.0763265306122449
local,us,gpt-4.1,0,english vs spanish,0.04775510204081632
local,us,gpt-4.1,1,english vs spanish,0.07551020408163266
local,us,gpt-4.1,0,hindi vs japanese,0.05714285714285714
local,us,gpt-4.1,1,hindi vs japanese,0.08693877551020408
local,us,gpt-4.1,0,hindi vs spanish,0.05795918367346939
local,us,gpt-4.1,1,hindi vs spanish,0.08612244897959184
local,us,gpt-4.1,0,japanese vs spanish,0.06693877551020408
local,us,gpt-4.1,1,japanese vs spanish,0.07020408163265306
sequential,us,gpt-4.1-nano,0,english vs hindi,0.1383673469387755
sequential,us,gpt-4.1-nano,1,english vs hindi,0.16693877551020408
sequential,us,gpt-4.1-nano,0,english vs japanese,0.13183673469387755
sequential,us,gpt-4.1-nano,1,english vs japanese,0.16979591836734695
sequential,us,gpt-4.1-nano,0,english vs spanish,0.13183673469387755
sequential,us,gpt-4.1-nano,1,english vs spanish,0.16244897959183674
sequential,us,gpt-4.1-nano,0,hindi vs japanese,0.13387755102040816
sequential,us,gpt-4.1-nano,1,hindi vs japanese,0.14816326530612245
sequential,us,gpt-4.1-nano,0,hindi vs spanish,0.13877551020408163
sequential,us,gpt-4.1-nano,1,hindi vs spanish,0.15714285714285714
sequential,us,gpt-4.1-nano,0,japanese vs spanish,0.13714285714285715
sequential,us,gpt-4.1-nano,1,japanese vs spanish,0.14285714285714285
sequential,us,gpt-4.1-mini,0,english vs hindi,0.045306122448979594
sequential,us,gpt-4.1-mini,1,english vs hindi,0.09755102040816327
sequential,us,gpt-4.1-mini,0,english vs japanese,0.04897959183673469
sequential,us,gpt-4.1-mini,1,english vs japanese,0.09428571428571429
sequential,us,gpt-4.1-mini,0,english vs spanish,0.05020408163265306
sequential,us,gpt-4.1-mini,1,english vs spanish,0.1089795918367347
sequential,us,gpt-4.1-mini,0,hindi vs japanese,0.06571428571428571
sequential,us,gpt-4.1-mini,1,hindi vs japanese,0.09387755102040816
sequential,us,gpt-4.1-mini,0,hindi vs spanish,0.05877551020408163
sequential,us,gpt-4.1-mini,1,hindi vs spanish,0.08653061224489796
sequential,us,gpt-4.1-mini,0,japanese vs spanish,0.05918367346938776
sequential,us,gpt-4.1-mini,1,japanese vs spanish,0.09551020408163265
sequential,us,gpt-4.1,0,english vs hindi,0.060816326530612246
sequential,us,gpt-4.1,1,english vs hindi,0.07714285714285714
sequential,us,gpt-4.1,0,english vs japanese,0.08612244897959184
sequential,us,gpt-4.1,1,english vs japanese,0.07387755102040816
sequential,us,gpt-4.1,0,english vs spanish,0.05020408163265306
sequential,us,gpt-4.1,1,english vs spanish,0.06693877551020408
sequential,us,gpt-4.1,0,hindi vs japanese,0.0653061224489796
sequential,us,gpt-4.1,1,hindi vs japanese,0.0783673469387755
sequential,us,gpt-4.1,0,hindi vs spanish,0.062040816326530614
sequential,us,gpt-4.1,1,hindi vs spanish,0.07877551020408163
sequential,us,gpt-4.1,0,japanese vs spanish,0.07755102040816327
sequential,us,gpt-4.1,1,japanese vs spanish,0.07877551020408163
iterative,us,gpt-4.1-nano,0,english vs hindi,0.10612244897959183
iterative,us,gpt-4.1-nano,1,english vs hindi,0.14489795918367346
iterative,us,gpt-4.1-nano,0,english vs japanese,0.10612244897959183
iterative,us,gpt-4.1-nano,1,english vs japanese,0.12857142857142856
iterative,us,gpt-4.1-nano,0,english vs spanish,0.10326530612244898
iterative,us,gpt-4.1-nano,1,english vs spanish,0.14204081632653062
iterative,us,gpt-4.1-nano,0,hindi vs japanese,0.10040816326530612
iterative,us,gpt-4.1-nano,1,hindi vs japanese,0.13387755102040816
iterative,us,gpt-4.1-nano,0,hindi vs spanish,0.11877551020408163
iterative,us,gpt-4.1-nano,1,hindi vs spanish,0.11306122448979591
iterative,us,gpt-4.1-nano,0,japanese vs spanish,0.12204081632653062
iterative,us,gpt-4.1-nano,1,japanese vs spanish,0.1253061224489796
iterative,us,gpt-4.1-mini,0,english vs hindi,0.07183673469387755
iterative,us,gpt-4.1-mini,1,english vs hindi,0.10122448979591837
iterative,us,gpt-4.1-mini,0,english vs japanese,0.06653061224489797
iterative,us,gpt-4.1-mini,1,english vs japanese,0.08775510204081632
iterative,us,gpt-4.1-mini,0,english vs spanish,0.07020408163265306
iterative,us,gpt-4.1-mini,1,english vs spanish,0.1
iterative,us,gpt-4.1-mini,0,hindi vs japanese,0.06571428571428571
iterative,us,gpt-4.1-mini,1,hindi vs japanese,0.11142857142857143
iterative,us,gpt-4.1-mini,0,hindi vs spanish,0.07102040816326531
iterative,us,gpt-4.1-mini,1,hindi vs spanish,0.10326530612244898
iterative,us,gpt-4.1-mini,0,japanese vs spanish,0.06897959183673469
iterative,us,gpt-4.1-mini,1,japanese vs spanish,0.11020408163265306
iterative,us,gpt-4.1,0,english vs hindi,0.05836734693877551
iterative,us,gpt-4.1,1,english vs hindi,0.09510204081632653
iterative,us,gpt-4.1,0,english vs japanese,0.06693877551020408
iterative,us,gpt-4.1,1,english vs japanese,0.07795918367346939
iterative,us,gpt-4.1,0,english vs spanish,0.054285714285714284
iterative,us,gpt-4.1,1,english vs spanish,0.07306122448979592
iterative,us,gpt-4.1,0,hindi vs japanese,0.07551020408163266
iterative,us,gpt-4.1,1,hindi vs japanese,0.08979591836734693
iterative,us,gpt-4.1,0,hindi vs spanish,0.05795918367346939
iterative,us,gpt-4.1,1,hindi vs spanish,0.05714285714285714
iterative,us,gpt-4.1,0,japanese vs spanish,0.07224489795918368
iterative,us,gpt-4.1,1,japanese vs spanish,0.07265306122448979
